
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.2.3)

2026-05-04 22:06:48.547 [http-nio-8080-exec-7] INFO  c.q.p.s.a.service.AnalysisService - 获取研报分析: code=600519
2026-05-04 22:11:35.460 [http-nio-8080-exec-8] INFO  c.q.p.s.a.service.AnalysisService - 获取研报分析: code=600519
2026-05-04 22:11:55.226 [http-nio-8080-exec-9] INFO  c.q.p.s.a.service.AnalysisService - 开始分析个股: code=600519
2026-05-04 22:11:55.758 [http-nio-8080-exec-9] INFO  c.q.p.s.a.service.AnalysisService - 个股分析完成: code=600519, totalScore=56, action=HOLD
2026-05-04 22:11:57.894 [http-nio-8080-exec-1] INFO  c.q.p.s.a.service.AnalysisService - 获取研报分析: code=600519
2026-05-04 22:12:15.985 [http-nio-8080-exec-3] INFO  c.q.p.s.a.service.AnalysisService - 开始分析个股: code=600519
2026-05-04 22:12:16.417 [http-nio-8080-exec-3] INFO  c.q.p.s.a.service.AnalysisService - 个股分析完成: code=600519, totalScore=56, action=HOLD
2026-05-04 22:12:16.704 [http-nio-8080-exec-4] INFO  c.q.p.s.a.service.AnalysisService - 获取研报分析: code=600519
2026-05-04 22:12:22.840 [http-nio-8080-exec-2] INFO  c.q.p.s.a.service.AnalysisService - 获取研报分析: code=600519
2026-05-04 22:12:39.751 [http-nio-8080-exec-6] INFO  c.q.p.s.a.service.AnalysisService - 开始分析个股: code=600519
2026-05-04 22:12:40.252 [http-nio-8080-exec-6] INFO  c.q.p.s.a.service.AnalysisService - 个股分析完成: code=600519, totalScore=56, action=HOLD
2026-05-04 22:12:41.422 [http-nio-8080-exec-7] INFO  c.q.p.s.a.service.AnalysisService - 获取研报分析: code=600519
2026-05-04 22:15:02.408 [http-nio-8080-exec-8] INFO  c.q.p.s.a.service.AnalysisService - 开始分析个股: code=600519
2026-05-04 22:15:03.033 [http-nio-8080-exec-8] INFO  c.q.p.s.a.service.AnalysisService - 个股分析完成: code=600519, totalScore=56, action=HOLD
2026-05-04 22:15:03.594 [http-nio-8080-exec-10] INFO  c.q.p.s.a.service.AnalysisService - 获取研报分析: code=600519
2026-05-04 22:15:46.970 [http-nio-8080-exec-9] INFO  c.q.p.s.a.service.AnalysisService - 开始分析个股: code=600519
2026-05-04 22:15:47.555 [http-nio-8080-exec-9] INFO  c.q.p.s.a.service.AnalysisService - 个股分析完成: code=600519, totalScore=56, action=HOLD
2026-05-04 22:15:47.630 [http-nio-8080-exec-1] INFO  c.q.p.s.a.service.AnalysisService - 获取研报分析: code=600519
2026-05-04 22:18:34.685 [http-nio-8080-exec-3] INFO  c.q.p.s.a.service.AnalysisService - 开始分析个股: code=海立
